X1,X2,Y
84,41,0
89,40,0
40,7,0
22,34,0
84,15,0
2,21,0
97,81,0
23,3,0
96,89,0
72,44,1
41,49,1
90,92,0
58,13,0
16,17,0
90,19,0
59,53,1
93,82,0
39,16,0
96,74,0
35,34,1
26,50,1
30,77,0
69,21,0
85,45,0
89,78,0
89,62,0
37,75,0
80,37,0
50,40,1
71,57,1
2,46,0
45,77,0
100,10,0
65,33,1
56,70,1
31,30,1
5,26,0
24,76,0
19,48,0
60,26,1
95,2,0
16,79,0
20,8,0
64,45,1
97,82,0
59,35,1
21,68,0
53,79,0
22,62,0
77,18,0
56,25,0
76,44,0
43,90,0
80,19,0
52,62,1
80,11,0
78,28,0
96,44,0
53,6,0
93,70,0
10,1,0
20,85,0
0,72,0
36,95,0
68,46,1
1,83,0
60,53,1
61,22,0
68,41,1
1,76,0
25,23,0
5,11,0
93,100,0
64,60,1
94,75,0
60,62,1
97,8,0
4,43,0
25,92,0
71,26,1
59,18,0
0,66,0
87,48,0
26,69,1
72,20,0
46,48,1
0,98,0
25,38,0
76,41,0
42,1,0
20,11,0
56,35,1
93,61,0
48,64,1
63,3,0
34,94,0
11,13,0
46,54,1
46,95,0
50,57,1
