X1,X2,Y
20,88,1
27,82,1
31,57,1
63,79,0
91,4,0
41,36,1
19,53,1
88,6,0
60,38,0
38,6,1
68,28,0
41,84,1
92,93,0
88,32,0
78,59,0
72,47,0
21,78,1
44,55,1
14,16,1
62,20,0
57,53,0
89,43,0
52,63,0
93,58,0
78,68,0
64,62,0
44,61,1
39,51,1
95,92,0
47,72,1
82,64,0
0,48,1
34,94,1
95,6,0
95,12,0
90,93,0
38,21,1
32,36,1
58,27,0
6,32,1
47,76,1
91,99,0
48,28,1
62,34,0
44,49,1
28,83,1
45,63,1
63,12,0
3,24,1
88,48,0
63,26,0
31,14,1
66,97,0
71,90,0
35,13,1
21,77,1
25,62,1
54,8,0
23,20,1
75,63,0
47,81,1
58,92,0
51,28,0
79,82,0
14,3,1
28,79,1
6,94,1
16,16,1
95,57,0
25,92,1
44,47,1
36,3,1
64,69,0
86,89,0
57,74,0
21,86,1
40,5,1
100,34,0
59,22,0
29,81,1
82,52,0
23,13,1
20,18,1
44,35,1
85,27,0
89,52,0
78,43,0
90,83,0
32,95,1
65,89,0
96,24,0
89,78,0
94,52,0
73,19,0
47,50,1
60,64,0
68,21,0
35,16,1
84,20,0
32,13,1
